         173281 function calls (164229 primitive calls) in 27.336 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       88    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\event\attr.py:537(__init__)
       46    0.000    0.000    0.004    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\compiler.py:1478(visit_Output)
      160    0.000    0.000    0.009    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\annotation.py:369(__eq__)
       10    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\email\feedparser.py:471(_parse_headers)
       51    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\loading.py:1050(_instance)
      199    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:5280(__new__)
       51    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\context.py:147(__init__)
       80    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\properties.py:391(_orm_annotate_column)
      238    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:4844(_clone)
       51    0.000    0.000    0.048    0.001 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\query.py:2700(first)
       77    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\flask_sqlalchemy\session.py:109(_app_ctx_id)
        9    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:283(__init__)
      132    0.000    0.000    0.010    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\visitors.py:1097(replacement_traverse)
       69    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\engine\cursor.py:1419(__init__)
    87/11    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:71(_compile)
       53    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\compiler.py:1820(construct_params)
       51    0.000    0.000    0.042    0.001 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\query.py:2822(_iter)
        1    0.000    0.000    0.045    0.045 c:\Users\Utilisateur\PycharmProjects\GestionFile\app.py:2993(load_configuration)
      203    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\timer.py:80(__lt__)
       13    0.000    0.000    0.062    0.005 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\mapper.py:2390(_post_configure_properties)
      424    0.000    0.000    0.009    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\traversals.py:252(visit_clauseelement)
       53    0.000    0.000    0.020    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:667(_compile_w_cache)
     1271    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
   112/28    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\visitor.py:61(generic_visit)
       30    0.000    0.000    0.007    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\strategies.py:704(__init__)
      876    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
    84/28    0.000    0.000    0.003    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\visitors.py:1035(clone)
      152    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\inspection.py:113(inspect)
      199    0.000    0.000    0.004    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\re.py:288(_compile)
      246    0.000    0.000    0.005    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\base.py:1760(contains_column)
      212    0.000    0.000    0.000    0.000 <string>:1(_generated_copy_internals_traversal)
  567/415    0.000    0.000    0.049    0.000 {method 'join' of 'str' objects}
       22    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\relationships.py:1659(_process_dependent_arguments)
       49    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\green\select.py:59(on_timeout2)
      102    0.000    0.000    0.000    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\attributes.py:833(__init__)
       20    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\email\feedparser.py:218(_parsegen)
    22/13    0.000    0.000    0.044    0.003 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\relationships.py:1639(do_init)
